participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
15,,,,,,,,,1516.318368,5,,120.0813191,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1524.56051,1516.306088,1534.099325,1524.56052,"The exact contour of face, head, shoulders and body.",1516.281115,1496.020448,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1534.118549,5,,120.0813191,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1534.099526,1534.099507,1538.057636,1534.09953,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1538.076954,4,,120.0813191,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1538.057773,1538.057755,1544.103488,1538.057777,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1544.122873,5,,120.0813191,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1544.103626,1544.103608,1549.13699,1544.10363,The different colors worn in some familiar clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1549.147674,4,,120.0813191,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1553.827425,1549.137123,1559.1369,1553.827433,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1559.151974,4,,120.0813191,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1559.13704,1559.137022,1562.87871,1559.137044,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1562.897848,4,,120.0813191,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1562.878854,1562.878836,1565.241334,1562.87886,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1565.256334,4,,120.0813191,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1565.241478,1565.241461,1566.979487,1565.241482,A rainbow appears.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1566.989564,4,,120.0813191,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1574.8819,1566.979618,1579.767125,1574.881908,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1579.785613,4,,120.0813191,,,,,,,9,0,9,9,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1579.767268,1579.767249,1581.587366,1579.767272,"A window display including colors, shapes, and details of the door.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1581.606645,4,,120.0813191,,,,,,,10,0,10,10,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1581.587502,1581.587484,1584.685726,1581.587506,"You are near the entrance. The color, shape, and details of individual items for sale.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1584.697028,5,,120.0813191,,,,,,,11,0,11,11,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1584.685864,1584.685846,1588.424283,1584.685868,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1588.435964,4,,120.0813191,,,,,,,12,0,12,12,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1595.081859,1588.424402,1598.399715,1595.081866,The contours of the landscape.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1598.415124,5,,120.0813191,,,,,,,13,0,13,13,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1598.399852,1598.399831,1600.553777,1598.399857,The color and shape of the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1600.56932,4,,120.0813191,,,,,,,14,0,14,14,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1600.553919,1600.553901,1602.945997,1600.553923,The color and shape of the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1602.961664,5,,120.0813191,,,,,,,15,0,15,15,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1602.946147,1602.946128,1605.187793,1602.946151,A strong wind blows on the trees and on the lake causing waves.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,,,,,,2026-03-27_14h58.45.976,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1621.515534,,,120.0813191,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,1617.886322,1605.187865,1633.125498,1621.495495,1621.486373,1617.901119,0,0,0,1,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,criticalExculp,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1633.140633,,,120.0813191,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1638.191053,1633.125689,,,1,0,1,2,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,minorInculp,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1638.201769,,,120.0813191,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1642.808262,1638.191193,,,2,0,2,7,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,evidence4,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1642.81848,,,120.0813191,Yes,,Not Confident,,,,,,,,,,,,,,,,,,,,,,,,,1651.521013,1642.808398,,,3,0,3,0,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,criticalInculp,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1651.53602,,,120.0813191,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1654.858569,1651.521152,,,4,0,4,4,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,evidence1,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1654.868907,,,120.0813191,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1659.512316,1654.858708,,,5,0,5,6,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,evidence3,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1659.523127,,,120.0813191,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1664.266443,1659.512456,,,6,0,6,3,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,minorExculp,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1664.277164,,,120.0813191,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1667.928984,1664.266584,,,7,0,7,5,0,0,0,9,,,,2023.2.3,The defendant recently has had his license suspended for reckless driving.,There were no DNA on the defendant's car that matched the victims,evidence2,30,Multiple Vehicular Homicide,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant was convicted five years ago for threatening workers,A tourist who was knocked over said it was maybe the defendant driving,Selfies of the defendant shows he was two miles away during homicide,Palm prints on the driver door matches the defendant's,,2026-03-27_14h58.45.976,Urine tests from the defendant showed high levels of alcohol,The defendant has earlier reported his car being stolen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1670.920662,,,120.0813191,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1674.896167,1670.902345,1670.899714,1667.929157,0,0,0,2,1,0,1,5,,,,2023.2.3,The defendant has been diagnosed with PTSD,Ballistic analysis showed that it was impossible for the bullet to be shot from the defendant's residence,minorInculp,19,Reckless discharge of a firearm,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant has a reputation of non-violence,A woman at the party saw someone with a gun across street from the defendant's home,911 recorded a call from the defendant's home phone,Markings on bullets in yard did not match bullets fired from defendant's only gun,,2026-03-27_14h58.45.976,Bullet markings in yard matched marks from test fired gun owned by a family member of the defendant,The voice of the person who called 911 did not match the defendant,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,1674.906366,,,120.0813191,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1681.325073,1674.896351,,,1,0,1,0,1,0,1,5,,,,2023.2.3,The defendant has been diagnosed with PTSD,Ballistic analysis showed that it was impossible for the bullet to be shot from the defendant's residence,criticalInculp,19,Reckless discharge of a firearm,2026-03-27 15h10.11.310064 -0600,JurorPsychopyTest,,,,,The defendant has a reputation of non-violence,A woman at the party saw someone with a gun across street from the defendant's home,911 recorded a call from the defendant's home phone,Markings on bullets in yard did not match bullets fired from defendant's only gun,,2026-03-27_14h58.45.976,Bullet markings in yard matched marks from test fired gun owned by a family member of the defendant,The voice of the person who called 911 did not match the defendant,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
