participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,s,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
332976,,,,,,,,,1866.7281111000048,3,,119.91184080643141,,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1871.2382874000032,1866.7218328000017,1875.8418576000113,1871.2382961000112,"The exact contour of face, head, shoulders and body.",1866.7038069000118,1862.997334300002,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1875.8578426000022,3,,119.91184080643141,,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1875.8420364000049,1875.8420168000011,1879.579324700011,1875.842040500007,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1879.5953167999978,4,,119.91184080643141,,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1879.579470800003,1879.5794517000031,1882.5876362999988,1879.5794751000067,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1882.599089299998,4,,119.91184080643141,,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,1882.587784800009,1882.5877660000115,1885.4560476000042,1882.5877889000112,The different colors worn in some familiar clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1885.467303,4,,119.91184080643141,,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1889.184082000007,1885.456174100007,1891.733751,1889.1840903999982,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1891.7450481999986,3,,119.91184080643141,,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1891.733890100004,1891.7338711000048,1893.9309177000105,1891.7338943000068,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1893.9504855999985,4,,119.91184080643141,,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1893.9310618000018,1893.931044099998,1896.758841700008,1893.9310658000031,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1896.7700793000113,5,,119.91184080643141,,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,1896.7589829000062,1896.7589651000017,1899.352275199999,1896.7589868000068,A rainbow appears.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1899.3630630999978,3,,119.91184080643141,,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1903.888015900011,1899.3524065000092,1907.655816,1903.8880247000052,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1907.6755231999996,4,,119.91184080643141,,,,,,,,9,0,9,9,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1907.6559534999978,1907.6559343000117,1910.450534500007,1907.6559574999992,"A window display including colors, shapes, and details of the door.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1910.4659500999987,4,,119.91184080643141,,,,,,,,10,0,10,10,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1910.450671300001,1910.450653100008,1913.7436998000048,1910.4506752000016,"You are near the entrance. The color, shape, and details of individual items for sale.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1913.7629607999988,3,,119.91184080643141,,,,,,,,11,0,11,11,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,1913.7438352000026,1913.7438169000088,1915.8122909000085,1913.7438395000063,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1915.8195871000062,4,,119.91184080643141,,,,,,,,12,0,12,12,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1919.0367393000051,1915.8124175999983,1921.5263815000071,1919.0367476000101,The contours of the landscape.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1921.5463040000031,5,,119.91184080643141,,,,,,,,13,0,13,13,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1921.5265222000016,1921.5265035000048,1924.2464794000116,1921.5265261000022,The color and shape of the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1924.2621235999977,4,,119.91184080643141,,,,,,,,14,0,14,14,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1924.2466241000075,1924.246605200009,1926.093946500012,1924.2466282000096,The color and shape of the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1926.112831300008,3,,119.91184080643141,,,,,,,,15,0,15,15,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",1926.094087000005,1926.094063299999,1928.249727500006,1926.0940924000024,A strong wind blows on the trees and on the lake causing waves.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-23_12h56.51.250,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1939.237775600006,,,119.91184080643141,7.164659000001848,Yes,,Moderately Confident,,,,,,,,,,,,,,,,,,,,,,,1933.4866666000016,1928.2498002000066,1947.7433251000039,1939.2148391000082,1939.204689700011,1933.5004209000035,0,0,0,3,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,minorExculp,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1947.761819700012,,,119.91184080643141,3.5337481000024127,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1952.6753647000005,1947.743551,,,1,0,1,2,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,minorInculp,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1952.6860720999975,,,119.91184080643141,4.916497600002913,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1959.204453,1952.6755172999983,,,2,0,2,4,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,evidence1,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1959.2151798999985,,,119.91184080643141,3.2164696999971056,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1963.0212039000035,1959.2045980000112,,,3,0,3,6,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,evidence3,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1963.0318266000104,,,119.91184080643141,2.8046183999977075,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1967.0836374000064,1963.0213512000046,,,4,0,4,1,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,criticalExculp,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
332976,,,,,,,,,1967.094342299999,,,119.91184080643141,2.1708485999988625,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,1969.7085904999985,1967.0837840000022,,,5,0,5,5,0,0,0,1,,,,2023.2.3,Stolen clothes had residue from loss protection ink,The cut off tags did not have the defendant's fingerprints,evidence2,2,Shoplifting a dress by stuffing into purse,2026-04-23 12h57.33.746421 -0700,JurorPsychopyTest,,,,,The defendant has a strong reputation of truthfulness,A store clerk heard scissors in a dressing room and identified the defendant as the person who left,A video shows the defendant putting back the dress on a rack,Smudged fingerprints were found on scissors from the fitting room,,2026-04-23_12h56.51.250,The dress returned to the rack was identified as a different dress than the one taken,A customer heard other sounds from the defendant's stall that were not scissors,,,,,,,,,,,0,,,,,,,,,,,,,,,,
