participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
1,,,,,,,,,2938.405297,3,,59.95901203,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2949.572419,2938.393787,2962.173706,2949.572427,"The exact contour of face, head, shoulders and body.",2938.372384,2927.091539,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,2962.205506,2,,59.95901203,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2962.173886,2962.173866,2972.890661,2962.17389,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,2972.922357,4,,59.95901203,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2972.890816,2972.890796,2981.440465,2972.89082,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,2981.472823,4,,59.95901203,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2981.440614,2981.440595,2989.540293,2981.440618,The different colors worn in some familiar clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,2989.555988,4,,59.95901203,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2998.939699,2989.540418,3008.941142,2998.939709,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3008.956225,3,,59.95901203,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3008.941283,3008.941264,3015.358155,3008.941287,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3015.389685,2,,59.95901203,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3015.358301,3015.358282,3026.874564,3015.358305,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3026.889911,1,,59.95901203,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3026.874717,3026.874697,3031.808114,3026.874721,A rainbow appears.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3031.822962,5,,59.95901203,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,3041.423821,3031.808236,3050.424763,3041.423829,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3050.44016,4,,59.95901203,,,,,,,9,0,9,9,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,3050.424907,3050.424887,3057.458073,3050.424911,"A window display including colors, shapes, and details of the door.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3057.473594,3,,59.95901203,,,,,,,10,0,10,10,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,3057.458218,3057.458198,3066.474953,3057.458222,"You are near the entrance. The color, shape, and details of individual items for sale.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3066.490112,4,,59.95901203,,,,,,,11,0,11,11,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,3066.475101,3066.475082,3077.158736,3066.475106,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3077.173823,3,,59.95901203,,,,,,,12,0,12,12,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",3086.924282,3077.158872,3094.292274,3086.924292,The contours of the landscape.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3094.307971,4,,59.95901203,,,,,,,13,0,13,13,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",3094.292432,3094.292412,3100.641877,3094.292436,The color and shape of the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3100.657091,4,,59.95901203,,,,,,,14,0,14,14,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",3100.642015,3100.641997,3107.075624,3100.642019,The color and shape of the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3107.107182,2,,59.95901203,,,,,,,15,0,15,15,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",3107.075766,3107.075747,3111.77576,3107.07577,A strong wind blows on the trees and on the lake causing waves.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,,,,,,2026-03-05_16h25.19.583,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3128.007539,,,59.95901203,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,3124.10783,3111.775837,3135.576569,3127.985229,3127.974628,3124.121632,0,0,0,2,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,minorInculp,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3135.591083,,,59.95901203,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3142.993397,3135.576789,,,1,0,1,7,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,evidence4,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3143.007644,,,59.95901203,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3148.09353,3142.993539,,,2,0,2,6,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,evidence3,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3148.107732,,,59.95901203,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3154.443023,3148.093674,,,3,0,3,5,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,evidence2,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3154.457753,,,59.95901203,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3160.309851,3154.443162,,,4,0,4,0,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,criticalInculp,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3160.324617,,,59.95901203,Yes,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3164.443603,3160.309996,,,5,0,5,4,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,evidence1,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3164.457879,,,59.95901203,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3171.22689,3164.443745,,,6,0,6,3,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,minorExculp,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,,,,,,,,,3171.241311,,,59.95901203,No,,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,3176.360099,3171.227033,,,7,0,7,1,0,0,0,6,,,,2023.2.3,The defendant has an online store with items similar to the ones stolen.,The defendant has only worked at the register once,criticalExculp,20,Grocery free bagging,2026-03-05 16h25.35.213719 -0700,JurorPsychopyTest,,,,,A priest says the defendant is an honest person,A customer remembers the defendant bagging items for another customer without ringing it up,A store camera shows no evidence of bagging without pressing register,An expert testified that none of the stolen items had the defendant's fingerprints,,2026-03-05_16h25.19.583,The defendant has an abnormal bagging speed that prevents the camera from identifying if she rang up items or not,The defendant has had past instances of accidentally forgetting to ring up items,,,,,,,,,,,0,,,,,,,,,,,,,,,,
